id,name,scientific name,type,parent species id,family,group,authority,rarity,status,obscurity,link
58,Aalscholver,Phalacrocorax carbo,soort,,Phalacrocoracidae (Aalscholvers),Vogels,"(Linnaeus, C, 1758)",algemeen,inheems,,https://waarneming.nl/species/58/
240788,Aalscholver onbekend,Phalacrocoracidae indet.,verzamelsoort,,Phalacrocoracidae (Aalscholvers),Vogels,,algemeen,inheems,,https://waarneming.nl/species/240788/
214,Aasgier,Neophron percnopterus,soort,,"Accipitridae (Wouwen, Haviken en Arenden)",Vogels,"(Linnaeus, C, 1758)",zeer zeldzaam,inheems,,https://waarneming.nl/species/214/
73546,Abdims Ooievaar,Ciconia abdimii,soort,,Ciconiidae (Ooievaars),Vogels,"Lichtenstein, MHC, 1823",algemeen,exoot,,https://waarneming.nl/species/73546/
72847,Afrikaans Purperhoen,Porphyrio alleni,soort,,"Rallidae (Rallen, koeten en waterhoentjes)",Vogels,"Thomson, TRH, 1842",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/72847/
70483,Afrikaanse Dwergeend,Nettapus auritus,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Boddaert, P, 1783)",vrij algemeen,exoot,,https://waarneming.nl/species/70483/
73545,Afrikaanse Gaper,Anastomus lamelligerus,soort,,Ciconiidae (Ooievaars),Vogels,"Temminck, CJ, 1823",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/73545/
21115,Afrikaanse Lepelaar,Platalea alba,soort,,Threskiornithidae (Ibissen en Lepelaars),Vogels,"Scopoli, GA, 1786",vrij algemeen,incidentele invoer,,https://waarneming.nl/species/21115/
2020,Afrikaanse Maraboe,Leptoptilos crumenifer,soort,,Ciconiidae (Ooievaars),Vogels,"(Lesson, RP, 1831)",vrij algemeen,exoot,,https://waarneming.nl/species/2020/
18680,Afrikaanse Nimmerzat,Mycteria ibis,soort,,Ciconiidae (Ooievaars),Vogels,"(Linnaeus, C, 1766)",vrij algemeen,exoot,,https://waarneming.nl/species/18680/
72176,Afrikaanse Oehoe,Bubo africanus,soort,,Strigidae (Uilen),Vogels,"(Temminck, CJ, 1821)",vrij algemeen,exoot,,https://waarneming.nl/species/72176/
1178207,Afrikaanse Vink,Fringilla spodiogenys,soort,,Fringillidae (Vinken),Vogels,"Bonaparte, CLJL, 1841",zeer zeldzaam,inheems,,https://waarneming.nl/species/1178207/
27150,Afrikaanse Wielewaal,Oriolus auratus,soort,,Oriolidae (Wielewalen en Vijgvogels),Vogels,"Vieillot, LJP, 1817",vrij algemeen,exoot,,https://waarneming.nl/species/27150/
79302,Afrikaanse Woestijngrasmus,Curruca deserti,soort,,Sylviidae (Grasmussen),Vogels,"(Loche, V, 1858)",zeer zeldzaam,inheems,,https://waarneming.nl/species/79302/
19275,Afrikaanse Zwarte Eend,Anas sparsa,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"Eyton, TC, 1838",algemeen,exoot,,https://waarneming.nl/species/19275/
689264,Agapornis onbekend,Agapornis spec.,verzamelsoort,,Psittaculidae (Parkieten),Vogels,"Selby, PJ, 1836",vrij algemeen,exoot,,https://waarneming.nl/species/689264/
72928,Alaskastrandloper,Calidris mauri,soort,,Scolopacidae (Strandlopers en snippen),Vogels,"(Cabanis, JL, 1857)",zeer zeldzaam,inheems,,https://waarneming.nl/species/72928/
71523,Alexanderparkiet,Psittacula alexandri,soort,,Psittaculidae (Parkieten),Vogels,"(Linnaeus, C, 1758)",vrij algemeen,exoot,,https://waarneming.nl/species/71523/
215,Alk,Alca torda,soort,,Alcidae (Alken),Vogels,"Linnaeus, C, 1758",vrij algemeen,inheems,,https://waarneming.nl/species/215/
1967,Alk of Zeekoet,Alca torda / Uria aalge,verzamelsoort,,Alcidae (Alken),Vogels,,vrij algemeen,inheems,,https://waarneming.nl/species/1967/
643158,Alkachtige onbekend,Alcidae indet.,verzamelsoort,,Alcidae (Alken),Vogels,,algemeen,inheems,,https://waarneming.nl/species/643158/
159932,Alpenbeflijster,Turdus torquatus alpestris,ondersoort,226,Turdidae (Lijsters),Vogels,"(Brehm, CL, 1831)",zeer zeldzaam,inheems,,https://waarneming.nl/species/159932/
216,Alpengierzwaluw,Tachymarptis melba,soort,,Apodidae (Gierzwaluwen),Vogels,"(Linnaeus, C, 1758)",zeer zeldzaam,inheems,,https://waarneming.nl/species/216/
1560,Alpenheggenmus,Prunella collaris,soort,,Prunellidae (Heggenmussen),Vogels,"(Scopoli, GA, 1769)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1560/
1596,Alpenkauw,Pyrrhocorax graculus,soort,,Corvidae (Kraaien en Gaaien),Vogels,"(Linnaeus, C, 1766)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1596/
1597,Alpenkraai,Pyrrhocorax pyrrhocorax,soort,,Corvidae (Kraaien en Gaaien),Vogels,"(Linnaeus, C, 1758)",zeer zeldzaam,inheems,,https://waarneming.nl/species/1597/
70484,Amazonetaling,Amazonetta brasiliensis,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Gmelin, JF, 1789)",vrij algemeen,exoot,,https://waarneming.nl/species/70484/
239306,Amerikaanse Blauwe Kiekendief,Circus hudsonius,soort,,"Accipitridae (Wouwen, Haviken en Arenden)",Vogels,"(Linnaeus, C, 1766)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/239306/
72975,Amerikaanse Bontbekplevier,Charadrius semipalmatus,soort,,Charadriidae (Kieviten en Plevieren),Vogels,"Bonaparte, CLJL, 1825",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/72975/
19320,Amerikaanse Bosruiter,Tringa solitaria,soort,,Scolopacidae (Strandlopers en snippen),Vogels,"Wilson, A, 1813",zeer zeldzaam,inheems,,https://waarneming.nl/species/19320/
245228,Amerikaanse Bosruiter ssp solitaria,Tringa solitaria solitaria,ondersoort,19320,Scolopacidae (Strandlopers en snippen),Vogels,"Wilson, A, 1813",zeer zeldzaam,inheems,,https://waarneming.nl/species/245228/
1722,Amerikaanse Fregatvogel,Fregata magnificens,soort,,Fregatidae (Fregatvogels),Vogels,"Mathews, GM, 1914",zeer zeldzaam,inheems,,https://waarneming.nl/species/1722/
893,Amerikaanse Goudplevier,Pluvialis dominica,soort,,Charadriidae (Kieviten en Plevieren),Vogels,"(Müller, PLS, 1776)",zeer zeldzaam,incidenteel / zwerver,,https://waarneming.nl/species/893/
79269,Amerikaanse Grote Zee-eend,Melanitta deglandi,soort,,"Anatidae (Eenden, Ganzen en Zwanen)",Vogels,"(Bonaparte, CLJL, 1850)",zeer zeldzaam,inheems,,https://waarneming.nl/species/79269/
73455,Amerikaanse Kleine Zilverreiger,Egretta thula,soort,,Ardeidae (Reigers),Vogels,"(Molina, GI, 1782)",vrij algemeen,exoot,,https://waarneming.nl/species/73455/
